The converted file is generated at:
2017-05-23 04:28:08
XMax XMin YMax YMin
0.787 -0.787 0.786 -0.786
Number of Layers:
132
0.419 -0.394 407.246
0.366 -0.443 414.090
0.308 -0.485 420.945
0.245 -0.520 428.051
0.178 -0.547 435.579
0.108 -0.565 442.875
0.036 -0.574 450.000
-0.036 -0.574 457.125
-0.108 -0.565 464.421
-0.178 -0.547 471.949
-0.245 -0.520 479.055
-0.308 -0.485 485.910
-0.366 -0.443 492.754
-0.419 -0.394 500.599
-0.465 -0.338 507.407
-0.504 -0.277 514.502
-0.535 -0.212 522.316
-0.557 -0.143 529.624
-0.570 -0.072 536.028
-0.575 0.000 543.972
-0.570 0.072 550.376
-0.557 0.143 557.684
-0.535 0.212 565.498
-0.504 0.277 572.593
-0.465 0.338 579.401
-0.419 0.394 587.246
-0.366 0.443 594.090
-0.308 0.485 600.945
-0.245 0.520 608.051
-0.178 0.547 615.579
-0.108 0.565 622.875
-0.036 0.574 630.000
0.036 0.574 637.125
0.108 0.565 644.421
0.178 0.547 651.949
0.245 0.520 659.055
0.308 0.485 665.910
0.366 0.443 672.754
0.419 0.394 672.754
Layer: 22
6.339
51
0.386 0.362 133.191
0.337 0.408 126.347
0.284 0.447 118.474
0.225 0.479 111.477
0.164 0.503 104.657
0.099 0.520 96.911
0.033 0.528 90.000
-0.033 0.528 83.089
-0.099 0.520 75.343
